1,Pablo Picaso,Pintor/a,1881,Málaga,Guernica
1,Gustav Klimt,Pintor/a,1862,Viena,El Beso
0,Euclides,Matemático/a,400 AC,Alejandría,Geometría euclidiana
0,Isaac Newton,Matemático/a,1643,Lincolnshire,Ley de la gravedad universal
2,William Bradley Pitt ,Actor/a,1963,Shawnee,Siete Años en el Tíbet
2,Alba Flores,Actor/a,1986,Madrid,La Casa de Papel
3,Marie Curie,Científico/a,1867,Warsaw,Rayos X
4,Elon Reeve Musk,Inteniero/a,1971,Pretoria,Space X
5,Rosalía Vila Tobella,Cantante,1993,San Esteban de Sasroviras,Malamente
1,Joanne Rowling,Escritor/a,1965,Yate,Harry Potter
